,country,critical_value,infected_statistic,recovered_statistic,infected_validation,recovered_validation
0,Andorra,166.41529894906412,187.84031916325165,13.202053717887612,False,True
1,Australia,166.41529894906412,4052.118939765576,693.0515511618275,False,False
2,Austria,166.41529894906412,43.414358958166034,3.6966714109458505,True,True
3,Azerbaijan,166.41529894906412,18.375799952679294,13.040201018785734,True,True
4,Belarus,242.64654363275227,20.17249731085531,2.243464228839901,True,True
5,Belgium,339.2604758306209,3752.124588458204,394667.0682817971,False,False
6,Botswana,166.41529894906412,34.17079634011163,36.154610456835925,True,True
7,Brazil,307.1838004129604,1393.8897712132039,196.20809200062035,False,True
8,Bulgaria,339.2604758306209,89.5482634091889,350.78183395235453,True,False
9,China,166.41529894906412,1999.3250101158906,74.70886157079332,False,True
10,Croatia,339.2604758306209,391.8323841597845,50.772706772016434,False,True
11,Cuba,339.2604758306209,2885.728453925724,354.8150848762939,False,False
12,Denmark,296.4659101541689,9405.347348138908,4801.095081224604,False,False
13,Egypt,258.83652502482875,20.88629116164428,15.08350431358397,True,True
14,Georgia,339.2604758306209,38.08058064808496,34.386508922638654,True,True
15,Germany,166.41529894906412,125.07728849022772,1.7988363967801861,True,True
16,Greece,285.73393991823343,2130.0620366049943,910.4972297926971,False,False
17,Hungary,296.4659101541689,317.5001949143111,1852.2227802567436,False,False
18,Iceland,231.82916671052752,295.9498695704131,11.440400585157967,False,True
19,India,258.83652502482875,443.74711162738384,90.13656278161096,False,True
20,Iran,258.83652502482875,28635.651751309706,1247.4501605514909,False,False
21,Iraq,339.2604758306209,294.87266861836395,40.478285405410354,True,True
22,Ireland,296.4659101541689,427933.52140186797,13.291059941186761,False,True
23,Israel,296.4659101541689,3054.986843387445,269.79248080634534,False,True
24,Italy,166.41529894906412,21.992297677986574,3.5338745764387944,True,True
25,Japan,285.73393991823343,7408.0875668605795,285.96097621476974,False,False
26,Kazakhstan,285.73393991823343,147.9335612138807,20.283646738182988,True,True
27,Kenya,285.73393991823343,22.357547974412803,12.286443879811362,True,True
28,Latvia,339.2604758306209,196.07947539751294,536.4141027199212,True,False
29,Morocco,296.4659101541689,1158.4615687613004,97.58888072326229,False,True
30,Niger,285.73393991823343,146.30717692031942,19.29513834117108,True,True
31,Nigeria,166.41529894906412,31.22504679370667,13.994068974168899,True,True
32,Poland,166.41529894906412,13.946828215237074,0.3728416694639233,True,True
33,Qatar,285.73393991823343,324.3343004824634,14.671120009896413,False,True
34,Russia,166.41529894906412,2.0243907660661016,1.9493291521177931,True,True
35,Serbia,285.73393991823343,2015.1516613949789,38.26978696147362,False,True
36,Singapore,285.73393991823343,51.26112099350905,19.731688274457166,True,True
37,Slovakia,339.2604758306209,71.03852134693324,82.86942842074141,True,True
38,Slovenia,339.2604758306209,360.35481973085183,58.022016305044566,False,True
39,South-korea,204.6902010717095,763.0156325254076,8.640142939972833,False,True
40,Sweden,231.82916671052752,402.6992554605029,2712.615389092998,False,False
41,Switzerland,177.38974998654876,81.41120628091988,0.769079198992706,True,True
42,Syria,339.2604758306209,4.114167916840329,3.988928216457954,True,True
43,Taiwan,285.73393991823343,688.5383008921134,12.01124636053963,False,True
44,Turkey,258.83652502482875,12847.690986016782,20.940419247035088,False,True
45,Ukraine,339.2604758306209,665.3758303203338,660.6583092374601,False,False
46,Us,258.83652502482875,23823.47692260507,2832.4489092921285,False,False
47,Uzbekistan,339.2604758306209,338.91845459291324,9.656150954756404,True,True
