time,total_cases,daily_cases,total_death,death_per_day
2020-02-15,287,0,0,0
2020-02-16,314,27,0,0
2020-02-17,350,36,0,0
2020-02-18,378,28,0,0
2020-02-19,401,23,0,0
2020-02-20,466,65,0,0
2020-02-21,531,65,0,0
2020-02-22,591,60,0,0
2020-02-23,664,73,0,0
2020-02-24,779,115,0,0
2020-02-25,924,145,0,0
2020-02-26,1090,166,0,0
2020-02-27,1289,199,0,0
2020-02-28,1624,335,0,0
2020-02-29,1879,255,0,0
2020-03-01,2593,714,0,0
2020-03-02,3415,822,0,0
2020-03-03,4225,810,1,1
2020-03-04,5192,967,2,1
2020-03-05,6485,1293,3,1
2020-03-06,8136,1651,8,5
2020-03-07,9981,1845,10,2
2020-03-08,12201,2220,17,7
2020-03-09,15623,3422,30,13
2020-03-10,20309,4686,36,6
2020-03-11,25124,4815,55,19
2020-03-12,31158,6034,86,31
2020-03-13,39092,7934,133,47
2020-03-14,46621,7529,196,63
2020-03-15,54685,8064,294,98
2020-03-16,64395,9710,342,48
2020-03-17,73326,8931,533,191
2020-03-18,82392,9066,638,105
2020-03-19,91153,8761,831,193
2020-03-20,102011,10858,1093,262
2020-03-21,109542,7531,1381,288
2020-03-22,116461,6919,1772,391
2020-03-23,124937,8476,2311,539
2020-03-24,132262,7325,2991,680
2020-03-25,139425,7163,3647,656
2020-03-26,145847,6422,4365,718
2020-03-27,152017,6170,5138,773
2020-03-28,157455,5438,5982,844
2020-03-29,161777,4322,6803,821
2020-03-30,167131,5354,7716,913
2020-03-31,171644,4513,8464,748
2020-04-01,177341,5697,9387,923
2020-04-02,181955,4614,10348,961
2020-04-03,186565,4610,11198,850
2020-04-04,190513,3948,11947,749
2020-04-05,194026,3513,12641,694
2020-04-06,197848,3822,13341,700
2020-04-07,201433,3585,14045,704
2020-04-08,205310,3877,14792,747
2020-04-09,209036,3726,15447,655
2020-04-10,212715,3679,16081,634
2020-04-11,215850,3135,16606,525
2020-04-12,218321,2471,17209,603
2020-04-13,220967,2646,17756,547
2020-04-14,223736,2769,18255,499
2020-04-15,226551,2815,18812,557
2020-04-16,229117,2566,19130,318
2020-04-17,231362,2245,19478,348
2020-04-18,233380,2018,20043,565
2020-04-19,234692,1312,20453,410
2020-04-20,236302,1610,20852,399
2020-04-21,238206,1904,21282,430
2020-04-22,240197,1991,21717,435
2020-04-23,241943,1746,22157,440
2020-04-24,243680,1737,22524,367
2020-04-25,244622,942,22902,378
2020-04-26,245307,685,23190,288
2020-04-27,246191,884,23521,331
2020-04-28,247615,1424,23822,301
2020-04-29,248928,1313,24275,453
2020-04-30,250207,1279,24543,268
2020-05-01,251500,1293,24824,281
2020-05-02,252701,1201,25100,276
2020-05-03,253296,595,25264,164
2020-05-04,253902,606,25428,164
2020-05-05,254444,542,25613,185
2020-05-06,254816,372,25857,244
2020-05-07,255198,382,26070,213
2020-05-08,255539,341,26299,229
2020-05-09,255810,271,26478,179
2020-05-10,256056,246,26621,143
2020-05-11,256566,510,26744,123
2020-05-12,257064,498,26856,112
2020-05-13,257623,559,26966,110
2020-05-14,258141,518,27098,132
2020-05-15,258683,542,27194,96
2020-05-16,259007,324,27256,62
2020-05-17,259262,255,27308,52
2020-05-18,259749,487,27343,35
2020-05-19,260285,536,27384,41
2020-05-20,260715,430,27450,66
2020-05-21,261195,480,27502,52
2020-05-22,261722,527,27572,70
2020-05-23,262021,299,27622,50
2020-05-24,262275,254,27696,74
2020-05-25,262781,506,27768,72
2020-05-26,263306,525,27843,75
2020-05-27,263693,387,27885,42
2020-05-28,264178,485,27922,37
2020-05-29,264639,461,27952,30
2020-05-30,264912,273,27990,38
2020-05-31,265108,196,28030,40
2020-06-01,265483,375,28058,28
2020-06-02,265841,358,28078,20
2020-06-03,266248,407,28108,30
2020-06-04,266599,351,28133,25
2020-06-05,267029,430,28163,30
2020-06-06,267240,211,28178,15
2020-06-07,267425,185,28197,19
2020-06-08,267775,350,28209,12
2020-06-09,268076,301,28226,17
2020-06-10,268385,309,28236,10
2020-06-11,268659,274,28259,23
2020-06-12,268981,322,28275,16
2020-06-13,269090,109,28284,9
2020-06-14,269224,134,28291,7
2020-06-15,269519,295,28299,8
2020-06-16,269784,265,28306,7
2020-06-17,270065,281,28312,6
2020-06-18,270350,285,28315,3
2020-06-19,270611,261,28315,0
2020-06-20,270849,238,28322,7
2020-06-21,271073,224,28323,1
2020-06-22,271367,294,28324,1
2020-06-23,271706,339,28325,1
2020-06-24,272083,377,28327,2
2020-06-25,272431,348,28330,3
2020-06-26,272805,374,28338,8
2020-06-27,273092,287,28341,3
2020-06-28,273333,241,28343,2
2020-06-29,273700,367,28346,3
2020-06-30,274112,412,28355,9
2020-07-01,274649,537,28363,8
2020-07-02,275058,409,28368,5
2020-07-03,275592,534,28385,17
2020-07-04,276000,408,28385,0
2020-07-05,276422,422,28385,0
2020-07-06,277100,678,28388,3
2020-07-07,277867,767,28392,4
2020-07-08,278744,877,28396,4
2020-07-09,279648,904,28401,5
2020-07-10,280755,1107,28403,2
2020-07-11,281617,862,28404,1
2020-07-12,282448,831,28405,1
2020-07-13,283789,1341,28406,1
2020-07-14,285253,1464,28409,3
2020-07-15,287048,1795,28413,4
2020-07-16,288709,1661,28416,3
2020-07-17,290729,2020,28420,4
2020-07-18,292510,1781,28420,0
2020-07-19,294053,1543,28420,0
2020-07-20,296347,2294,28422,2
2020-07-21,298655,2308,28424,2
2020-07-22,301009,2354,28426,2
2020-07-23,303248,2239,28429,3
2020-07-24,305756,2508,28432,3
2020-07-25,307826,2070,28433,1
2020-07-26,309695,1869,28434,1
2020-07-27,312692,2997,28434,0
2020-07-28,315797,3105,28436,2
2020-07-29,318991,3194,28441,5
2020-07-30,322093,3102,28443,2
2020-07-31,325681,3588,28445,2
2020-08-01,329252,3571,28454,9
2020-08-02,331994,2742,28463,9
2020-08-03,336023,4029,28472,9
2020-08-04,340567,4544,28498,26
2020-08-05,345100,4533,28499,1
2020-08-06,349576,4476,28500,1
2020-08-07,354800,5224,28503,3
2020-08-08,358970,4170,28503,0
2020-08-09,362926,3956,28503,0
2020-08-10,368846,5920,28576,73
2020-08-11,375116,6270,28579,3
2020-08-12,381541,6425,28579,0
2020-08-13,387757,6216,28605,26
2020-08-14,394768,7011,28617,12
2020-08-15,400228,5460,28631,14
2020-08-16,405098,4870,28644,13
2020-08-17,412123,7025,28646,2
2020-08-18,420399,8276,28670,24
2020-08-19,428785,8386,28797,127
2020-08-20,437214,8429,28813,16
2020-08-21,446821,9607,28838,25
2020-08-22,453410,6589,28849,11
2020-08-23,459198,5788,28860,11
2020-08-24,467170,7972,28872,12
2020-08-25,477254,10084,28924,52
2020-08-26,487039,9785,28971,47
2020-08-27,496365,9326,28996,25
2020-08-28,507050,10685,29011,15
2020-08-29,514160,7110,29038,27
2020-08-30,520372,6212,29066,28
2020-08-31,528511,8139,29094,28
2020-09-01,539444,10933,29152,58
2020-09-02,549631,10187,29194,42
2020-09-03,559695,10064,29234,40
2020-09-04,570829,11134,29418,184
2020-09-05,579354,8525,29451,33
2020-09-06,586630,7276,29484,33
2020-09-07,595758,9128,29516,32
2020-09-08,606804,11046,29594,78
2020-09-09,618325,11521,29628,34
2020-09-10,629739,11414,29699,71
2020-09-11,641483,11744,29747,48
2020-09-12,650442,8959,29782,35
2020-09-13,658225,7783,29815,33
2020-09-14,668196,9971,29848,33
2020-09-15,679995,11799,30004,156
2020-09-16,691462,11467,30243,239
2020-09-17,702635,11173,30405,162
2020-09-18,716373,13738,30495,90
2020-09-19,724054,7681,30551,56
2020-09-20,730423,6369,30607,56
2020-09-21,738860,8437,30663,56
2020-09-22,749983,11123,30904,241
2020-09-23,760537,10554,31034,130
2020-09-24,770204,9667,31118,84
2020-09-25,780226,10022,31232,114
2020-09-26,785631,5405,31292,60
2020-09-27,790952,5321,31352,60
2020-09-28,794718,3766,31411,59
2020-09-29,799473,4755,31614,203
2020-09-30,803370,3897,31791,177
2020-10-01,807085,3715,31973,182
2020-10-02,810807,3722,32086,113
2020-10-03,810807,0,32086,0
